colition,
scenario,
integration,
collection,
breach,
preach,
patron,
pristine,only two months and in pristine condition
surge,
senator, state senator
superintendent,the man became superintendent
deficcit,
flutter,
lane,
cable,
haul,
stab,
condense,condense into water
petty,petty crime
pesticide,spray pesticide on their crops
subtract,subtract loss in value of factories
household,Low-income households
privilege,a universal right and not a privilege
barricade,broke through the barricade
ballet,the ballet school
humble,humble enough to learn from mistakes
drawback,
fracture,the company was fractured into several smaller groups
precede,precede his lecture with a humorous story
hose,garden hose
diploma,the diploma is very important for him
cork,get the cork out of the bottle
insect,
twinkle ,her wink twinkled
diligent,after long years of diligent study
impartial,an impartial judge
litter,
fabric,silk fabric
cabin,the owner of the log cabin
rigorous,
stump,
exempt,are exempt from military service
odor,odor of garbage
graphics,
susceptible,
sprinkle,
provision,the law makes no provision for this
council,the local council
bull,Beware of the bull
bust,boom - or -bust Texas economy
interim,an interim arrangement to accommodate the refugees
chip,silicon chip
quart,
overthrow,the decision was overthrown
indicative,indicative of their lack of interest
infusion,An infusion of new capital into the company
spice,needs a little more spice
presentation,the presentation of prizes began after the speeches
stagger,the drunk man staggered across the room
efficient,
couch,sleep on the couch
discount,discount the possibility of further strikes
pastry,afternoon tea and delicious pastry
surgery,
legacy,
diverse,people from diverse cultures
outrage,generate public outrafe in this country
corps,a member of the intelligence corps
